name,url1,url2
A,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-A-493.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/a.mp4
B,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-B-1674.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/b.mp4
C,,
D,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-D-494.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/d.mp4
E,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-E-1672.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/e.mp4
F,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-F-1671.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/f.mp4
G,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-G-1670.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/g.mp4
H,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-H-1669.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/h.mp4
I,https://media.signbsl.com/videos/asl/aslsignbank/mp4/HONORIFIC-1762.mp4,https://media.signbsl.com/videos/asl/aslsignbank/mp4/IX_1-1711.mp4
JL,,
M,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-M-1665.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/m.mp4
N,https://media.signbsl.com/videos/asl/aslsearch/mp4/n.mp4,https://media.signbsl.com/videos/asl/youtube/mp4/DmaVyqHLe5o.mp4
O,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-O-1663.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/o.mp4
P,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-P-1662.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/p.mp4
Q,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-Q-1661.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/q.mp4
R,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-R-1660.mp4,https://media.signbsl.com/videos/asl/tsdvideo/mp4/563.mp4
S,https://media.signbsl.com/videos/asl/youtube/mp4/f_dYx5262QA.mp4,https://media.signbsl.com/videos/asl/youtube/mp4/Bl5Iia6j9HU.mp4
T,https://media.signbsl.com/videos/asl/aslsearch/mp4/t.mp4,https://media.signbsl.com/videos/asl/youtube/mp4/D8V-oRC2iXA.mp4
U,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-U-1657.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/u.mp4
V,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-V-1656.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/v.mp4
W,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-W-1655.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/w.mp4
X,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-X-1654.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/x.mp4
Y,https://media.signbsl.com/videos/asl/aslsignbank/mp4/LETTER-Y-1653.mp4,https://media.signbsl.com/videos/asl/aslsearch/mp4/y.mp4
Z,https://media.signbsl.com/videos/asl/aslsearch/mp4/z.mp4,https://media.signbsl.com/videos/asl/youtube/mp4/QMwZKPS7YIU.mp4
